municipality,poor,dpoor,census_hhsize,census_age_hh,census_male_hh,census_piped_water,census_no_piped_water,census_no_sewage,census_sewage_pub,census_sewage_priv,census_electricity,census_telephone,census_cellphone,census_internet,census_automobile,census_computer,census_washmachine,census_fridge,census_television,census_share_under15,census_share_elderly,census_share_adult,census_max_tertiary,census_max_secondary,census_share_female,gis_arvimin,gis_arvimax,gis_arvimean,gis_arvisum,gis_arvistddev,gis_baeimin,gis_baeimax,gis_baeimean,gis_baeisum,gis_baeistddev,gis_bimin,gis_bimax,gis_bimean,gis_bisum,gis_bistddev,gis_brbamin,gis_brbamax,gis_brbamean,gis_brbasum,gis_brbastddev,gis_bumin,gis_bumax,gis_bumean,gis_busum,gis_bustddev,gis_evimin,gis_evimax,gis_evimean,gis_evisum,gis_evistddev,gis_ibimin,gis_ibimax,gis_ibimean,gis_ibisum,gis_ibistddev,gis_mndwimin,gis_mndwimax,gis_mndwimean,gis_mndwisum,gis_mndwistddev,gis_nbaimin,gis_nbaimax,gis_nbaimean,gis_nbaisum,gis_nbaistddev,gis_nbimin,gis_nbimax,gis_nbimean,gis_nbisum,gis_nbistddev,gis_ndbimin,gis_ndbimax,gis_ndbimean,gis_ndbisum,gis_ndbistddev,gis_ndvimin,gis_ndvimax,gis_ndvimean,gis_ndvisum,gis_ndvistddev,gis_ndwimin,gis_ndwimax,gis_ndwimean,gis_ndwisum,gis_ndwistddev,gis_srmin,gis_srmax,gis_srmean,gis_srsum,gis_srstddev,gis_uimin,gis_uimax,gis_uimean,gis_uisum,gis_uistddev,gis_ndsimin,gis_ndsimax,gis_ndsimean,gis_ndsisum,gis_ndsistddev,gis_varimin,gis_varimax,gis_varimean,gis_varisum,gis_varistddev,gis_savimin,gis_savimax,gis_savimean,gis_savisum,gis_savistddev,gis_osavimin,gis_osavimax,gis_osavimean,gis_osavisum,gis_osavistddev,gis_ndmimin,gis_ndmimax,gis_ndmimean,gis_ndmisum,gis_ndmistddev,gis_mdeamin,gis_mdeamax,gis_mdeamean,gis_mdeasum,gis_mdeastddev,gis_mdepmin,gis_mdepmax,gis_mdepmean,gis_mdepsum,gis_mdepstddev,gis_ntl_min_2015,gis_ntl_max_2015,gis_ntl_mean_2015,gis_ntl_std_2015,gis_ntl_sum_2015
1011001,.07924474,.073193915,-.39270183,-.65626454,-.32798183,.71371871,-.70391488,-.77647132,1.3169228,-1.3083571,.72130233,1.4536105,1.1264966,1.9276987,,2.1026449,1.270687,.99715,.80699843,-.27925113,-.97714597,.96309292,1.6710497,-.90030491,.28815609,.071162187,-.08138182,-1.2328438,-.1293046,-.11874724,.038864415,.49427712,.92995858,.12381943,.143052,-.027354907,.34827209,1.3094337,.31186652,-.64339596,.050275389,-.0016402104,.18928082,.093537904,-.11547007,.019777553,.17649348,1.3456544,.15257348,-.34223235,-.69190514,-.22186765,-1.2174797,-.065858379,-.10129865,-.057572778,.12224033,1.3571846,.3362048,-.32497793,-.0093497317,.40577015,.31933454,-.10380222,.27130121,.10979216,-.049760655,.24768363,.10324658,-.20380701,-.20215867,.16067992,-1.0632889,-.19609584,.37388614,-.0093896817,.23275737,1.3988328,.3608976,-.25215262,-.34263551,-.061471861,-1.2388513,-.032344293,-.094202578,.056464929,.0062329331,1.209718,-.020440636,.016042257,.095186941,-.14259587,-1.03255,-.13897692,-1.0136095,-.094625488,.10922223,1.3731858,.23643225,-.37475151,-.0093497317,.40577015,.31933454,-.10380222,.27130121,.054476149,-.062581778,-1.06269,-.2737627,-.73639381,-.29978892,-.065805323,-1.2385805,-.032341227,-.12621909,-.33015707,-.062559143,-1.2387596,-.032343291,-.13371949,-.23275737,.0093895858,-1.3988328,-.3608976,-.25215262,.97558051,.38910967,.69852275,.5465737554293949,-.77375782,-.051833682,.82450074,-.85409987,-.19026172,-.93319035,-.13399835,.081390068,.48768473,.44029239,4.0814371
1011002,.26254165,.31120333,1.1618668,-.75102687,.69377631,.68733919,-.68391848,-.4449648,.98385346,-.98129201,.41924849,-.37098452,.2326843,-.35137689,,-.04409036,.9176932,.54311949,.67402333,1.2554739,-1.0523529,-.68043703,-.56356329,1.9570282,-.016483467,.073304117,-.081701621,-1.4301847,-.3551659,-.18573359,.11593046,.23362067,1.0854852,-.10750679,-.37234566,-.44135013,.097927369,1.4601973,.16455714,-.79279941,.050450079,-.055864025,.21160437,-.12084772,-.12299822,.0047689942,.25581947,1.4610922,.35901257,-.53365755,.4106625,-.25903374,-1.447565,-.34052312,-.30269271,.020289997,.173489,1.491363,.23781469,-.55159396,-.049444254,.29009134,.20112632,.18721466,-.15614358,.1115426,-.049760655,.24768363,-.16778386,-.20380701,-.39293101,.065431342,-1.0710087,.11992769,-.0023618112,.017143276,.31690213,1.485257,.26278892,-.51677364,-.2317348,-.092038073,-1.3707558,-.31272441,-.41692072,.087429672,.00067456916,1.217919,.25986826,-.37886232,.096996002,-.15465586,-1.086889,-.32225415,-1.1578187,-.014660818,-.022588801,1.4933734,.37158754,-.54175538,-.049444254,.29009134,.20112632,.18721466,-.15614358,.059561484,-.073834904,-1.3129187,-.15430062,-.73639381,-.2013194,-.099094868,-1.3705035,-.31272063,-.43687826,-.22284018,-.094329767,-1.3706714,-.31272319,-.43767676,-.31690213,-.017143372,-1.485257,-.26278892,-.51677364,1.1867439,.58771771,.85871661,.0738078209553403,-.76515818,-.051833682,-.49670622,-.93191499,-.30041969,-.94467789,-.1156135,-.092748314,-.21725222,-.11613549,-.080619469
1011003,.24380489,.23181818,.24957375,.022898538,.32690635,.70991063,-.69842178,-.76481599,1.1918637,-1.1814837,.59743339,1.1259325,.34012723,.20918213,,.26318577,1.2623385,.94874567,.78016931,.35047427,.012677618,-.40914759,-.57419717,1.0662732,-.13708557,.068540722,-.082312167,-.55201757,-.0092644943,-.13214454,.13134365,.43997374,.30785155,-.01393561,-.29871741,.013589697,-.043844912,.83333784,.10079765,-.60604501,.050821304,.03366363,-.037143786,-.043085005,-.14934668,.025137749,-.0072087711,.68800884,.042289067,-.34223235,-.50472635,.31070691,-.59988254,-.021067539,.016670039,-.034213942,-.056646515,.85880804,.1180061,-.55159396,.069545887,.36307913,-.27170652,-.032038972,-.17088307,.084411189,-.049760655,.16864099,-.0031605875,-.15568089,.049399696,.15184759,-.93205094,-.060308892,-.02071541,-.0020886671,-.056772742,.88028789,.12931305,-.45061827,-.34158927,-.092038073,-.50738078,.0028503446,-.24480435,.043001931,-.00097791851,.41423386,-.010199935,-.19081247,.095206603,-.15454063,-.73705655,-.11915608,-.92731106,-.030653847,-.018634481,.75585824,.081330657,-.40258557,.069545887,.36307913,-.27170652,-.032038972,-.17088307,.058088161,-.073209733,-.77454799,-.11876936,-.83387226,-.29855028,-.099094868,-.50700712,.0028386465,-.27479511,-.32914466,-.094329767,-.50724828,.0028466091,-.27556619,.056772742,.0020885717,-.88028789,-.12931305,-.45061827,.70071423,.78539336,.8152383,.3894722397565635,.5074321,-.051833682,.29195327,.384285,.15181257,.40235981,-.15574308,-.06207338,-.26870483,-.10676279,-.081336439
1011004,.24661399,.18229167,1.3905418,-.28489235,1.052509,.76075101,-.76279724,-.70135921,1.3236141,-1.317741,.59147322,-.45878586,.41074944,-.49385434,,-.076024473,.90350729,.69371349,.72944599,1.1868286,-.87834537,-.72423005,-.083351761,1.7796488,.17155549,.079218395,-.083155289,-1.3117802,-.45244175,-.25272,.16525267,.04898895,.99216944,-.27222851,-.6300444,.57316571,-.050574608,1.3570433,.024974484,-1.0169045,.051476404,-.13840739,.16695727,-.26964501,-.31120154,.053546816,-.070530392,1.3316619,.46380916,-.69027787,.42941281,-.42075637,-1.3547236,-.4769277,-.3294149,.062885538,-.06148129,1.3859371,.12827443,-.81597906,.090239868,-.16711554,.13545518,.38790452,-.49515155,.11329298,-.049760655,.24768363,-.348492,-.20380701,.069710061,-.076688737,-1.0015298,.33258274,-.31437239,.03245759,-.079392292,1.3752626,.16445726,-.81447214,.018314978,-.18929377,-1.2388513,-.47463703,-.56752247,.12377952,-.024112731,1.0703033,.44366199,-.4728871,.10222656,-.18472897,-1.0480187,-.42921185,-1.1839354,.30519739,-.060813993,1.389575,.42426974,-.79226142,.090239868,-.16711554,.13545518,.38790452,-.49515155,.059894167,-.073075764,-1.2674224,-.0082139121,-.85824186,.020391921,-.20728655,-1.2385805,-.47463557,-.58545429,.019129114,-.19541769,-1.2387596,-.47463655,-.57952344,.079392292,-.032457683,-1.3752626,-.16445726,-.81447214,1.174947,.30612323,.80897552,-.2896995727217487,-.65626872,-.051833682,-.37961078,-.74965274,-.34600976,-.23546594,-.12674451,-.072595969,-.17603078,-.063943677,-.2941829
1011005,.092253141,.078313246,.22397189,-1.6106344,.86659652,.69510251,-.68942064,-.76932853,1.2286304,-1.2226436,.61371058,1.1606859,1.0855249,1.4070824,,1.6947212,1.2317567,.88563126,.75079358,.92395133,-1.5559703,.025721399,1.3884156,-.81554872,-.16169296,.068700567,-.082050502,-1.0749711,-.31070888,-.22592545,.1344263,.34439966,.68111569,-.14033477,-.22508919,.022688512,.04364115,1.2856289,.12257219,-.97955382,.051170692,.01327436,.093608461,-.15093137,-.13429041,.0388956,.028279155,1.2197223,.33409646,-.72508252,.396815,-.39358109,-1.1024371,-.31284747,-.31670555,-.018641392,-.03247261,1.3284322,.19599545,-.66490179,-.2279294,.38511324,.0041128988,.20065129,.094427474,.10804176,-.049760655,.24768363,-.18686983,-.20380701,.043306578,.17693941,-1.2640057,.13250256,.19035058,.0030754716,-.031438857,1.3674059,.23033078,-.58292878,-.35623655,-.11982542,-1.0469902,-.2967585,-.41692072,-.029697841,.0028528457,.98009378,.26363075,-.20961748,.094990306,-.16439857,-.98336715,-.31702873,-1.1998324,.030652341,.063088343,1.2857766,.34160912,-.73659354,-.2279294,.38511324,.0041128988,.20065129,.094427474,.056329682,-.070887655,-1.0323592,-.092672274,-.95572037,-.31217501,-.12822349,-1.0466925,-.29675847,-.45038521,-.34331861,-.12321203,-1.0468878,-.2967585,-.43767676,.031438857,-.0030755671,-1.3674059,-.23033078,-.58292878,1.0569787,.61196095,.82124197,.0289930545329824,-.4351894,-.051833682,.062058415,-.29996145,-.20114692,.12912302,-.12732878,-.031899363,.01700118,.12926854,.43224993
1011006,.14248446,.14516129,.76760846,-.98951972,-.011451566,.67893773,-.6709584,-.72302973,1.2432742,-1.2313638,.5214588,.42096192,.78909659,.83839476,,1.227126,1.1974555,.80229324,.75987655,1.2385062,-1.1005937,-.61211467,.79922712,.52715087,.38292682,.07266473,-.081992358,-1.0503035,-.41754365,-.065158136,.12209571,.62243325,.85219526,-.24833407,-.26190323,.29110298,-.025450401,1.1031255,.028192319,-.23253655,.05097416,-.018406522,.13506643,-.24795716,-.18134123,.039252941,.0053163776,1.0658052,.4276773,.0058131702,.42689839,-.41023421,-1.088309,-.43997622,-.30367035,-.043832298,-.040208261,1.1079963,.12251015,-.13613158,-.030043632,.29009134,.16172372,.35530272,-.30353835,.11066735,-.050506797,.24768363,-.31919494,-.20380701,.040114958,.046562295,-.77765369,.30317909,-.084952869,-.005293991,-.027819723,1.1002767,.1556212,-.086764425,-.187793,-.11704671,-.99302924,-.43605754,-.11571717,.09416113,-.01119329,.86528164,.40671051,-.20961748,.097802214,-.16377124,-.93894398,-.4038918,-.89551693,-.057308685,.096041106,1.1437366,.39593565,-.040743735,-.030043632,.29009134,.16172372,.35530272,-.30353835,.060512014,-.074326113,-1.0702727,-.017721187,-.54143679,-.16230315,-.12822349,-.99072516,-.43605602,-.13972604,-.18031839,-.12032384,-.9929238,-.43605706,-.15398334,.027819723,.0052938955,-1.1002767,-.1556212,-.086764425,1.1159629,.25204214,.75111097,-.2365232903757391,-.59951633,-.051833682,-.16811189,-.81082296,-.33725396,-.50542045,-.093179062,-.042210098,-.038654171,.059932426,-.11964983
1011007,.23951359,.3651877,1.352375,-.88818288,.29441708,.67533278,-.67862254,-.66700858,1.2393913,-1.2367169,.63619125,-.096732244,.539428,.21641059,,.58325493,1.0183063,.76172054,.72173828,1.4506438,-1.3566018,-.68479747,.50444072,1.3137321,-.055408567,.0762133,-.082312167,-1.2525779,-.3765392,-.19913089,.12209571,.22710422,.91440564,-.18025258,-.4459739,.2956523,-.024553107,1.3411734,.094838358,-.68074691,.05097416,-.052965648,.14782277,-.18763623,-.23592022,.039788965,.0067080646,1.3106732,.38740379,-.44664598,-3.0316393,.32338727,-1.3123394,-.38560644,1.0826248,.052351158,-.026670877,1.376353,.1788947,-.51382458,.035918288,.25153172,.096052572,.26696646,-.22984099,.11066735,-.049760655,.24768363,-.24231878,-.20380701,.024301892,-.0050264909,-1.1018882,.20618024,-.0023618112,.028896123,-.013343239,1.3831193,.20957118,-.45061827,-.089447051,-.11148914,-1.1968818,-.36731341,-.39540613,.087429672,-.010742611,1.0539016,.32862854,-.30364239,.099748924,-.16150519,-1.0269971,-.35984302,-1.0840108,.32918677,.036726162,1.3513335,.3767744,-.56958944,.035918288,.25153172,.096052572,.26696646,-.22984099,.056852475,-.074147493,-1.206761,-.081700005,-.78513306,-.074981101,-.11990093,-1.1946062,-.36731026,-.42337132,-.08515054,-.11454728,-1.1967876,-.3673124,-.41741288,.013343239,-.028896218,-1.3831193,-.20957118,-.45061827,1.1360174,.44039345,.85767877,-.0752449592606793,-.34542564,-.051833682,.0097896913,-.60803193,-.28239527,-.11758313,-.14815059,-.028127326,-.14670233,.016521784,-.057735119
1011008,.20765589,.21276596,.97749138,-1.1195837,-.69044018,.63617802,-.62472868,-.56033808,1.1912366,-1.1890188,.36339861,.10352138,.80846429,-.32366672,,.38641298,.90085369,.60498297,.56392497,1.6652709,-1.0315174,-1.1400669,.3315689,1.2887563,-.03375826,.070842497,-.082224943,-.60135281,-.055346195,.10230771,.11901306,.2683748,.26119319,-.039377127,-.0042044739,.20921376,-.04878002,.91268718,.11374874,-.0084315315,.050799467,-.0011772799,.013881481,-.051416442,.11225598,.03139133,.099255033,.77196354,.096950613,.44087026,.18783495,.23462483,-.60997397,-.058969207,-.069362357,.0038014266,-.063415207,.95464969,.14621602,-.022823725,.079892874,.35619348,-.31110874,-.00060358614,.91983807,.10191529,-.050506797,.16864099,-.031659942,-.15568089,.056218166,.096645586,-1.0401291,-.037232928,.90613943,.010020333,-.066725351,.98242551,.16574402,.17785661,-.26102933,-.092038073,-.57333308,-.046208121,.65880632,.03761683,.0030030699,.4962427,.035099529,.97509593,.096484751,-.15533438,-.72198451,-.13948143,-.67182237,.1399373,-.15703604,.810489,.12414579,.23759635,.079892874,.35619348,-.31110874,-.00060358614,.91983807,.06108233,-.072138004,-.78971332,-.1117793,-.44395828,-.2279495,-.10117557,-.57096994,-.046216249,.5761407,-.25118804,-.094329767,-.57320428,-.04621071,.57551402,.066725351,-.010020428,-.98242551,-.16574402,.17785661,1.1596111,.94017708,1.186476,.4515707793655991,.12112506,-.051833682,.49899098,.28136361,.085567772,.47538683,-.15879032,-.080249339,-.30571732,-.14711893,-.25008929
1011009,.22877134,.22429907,.79893732,-.76182109,1.2763617,.70532334,-.69383693,-.66083157,1.1803299,-1.1763854,.42196843,-.65648824,.30649474,-.50060141,,-.26736662,.98230356,.59781903,.6316098,1.304337,-.257402,-1.2499937,-.41119412,1.6745521,.037366509,.076309204,-.082631975,-1.375916,-.42853382,-.18573359,.15908743,.19017784,1.1165906,-.23081987,-.40915972,.36389336,-.043396257,1.3570433,.054770164,-.97955382,.051410891,-.089316122,.21798255,-.23189579,-.29238123,.043362428,-.048263445,1.3981261,.43759063,-.56846189,.40412995,-.39012063,-1.3809613,-.44215304,-.31540203,.077542067,-.043109119,1.3955213,.15045941,-.81597906,.073426031,.11932731,.35873714,.3422384,-.37723571,.11416818,-.049760655,.24768363,-.30440512,-.20380701,.058974579,-.033731539,-.87029231,.28470704,-.27766526,.036731351,-.066725351,1.3831193,.18375388,-.81447214,-.016210729,-.16150643,-1.3407775,-.43626925,-.37389153,.10897033,-.015850298,1.2343205,.40118027,-.32244727,.10138101,-.17726509,-1.0761797,-.40353104,-1.1771224,.3451798,.011682076,1.4387426,.4108133,-.76442736,.073426031,.11932731,.35873714,.3422384,-.37723571,.058230743,-.071334206,-1.2219265,-.038777955,-.8095026,-.01057335,-.17607747,-1.3385222,-.43626788,-.39635742,-.014280879,-.16653542,-1.3406914,-.43626881,-.39714903,.066725351,-.036731448,-1.3831193,-.18375388,-.81447214,1.1360174,.46556911,.82185453,-.2023551283581264,-.56968713,-.051833682,-.46118098,-.82108736,-.33230758,-.68648422,-.090243734,-.073769189,-.15486905,-.054192338,-.19254448
1011010,.23639752,.23076923,.74087167,-.79198575,1.4122326,.5652582,-.55384701,-.42485514,.88450658,-.87833214,-.051869318,-.87513483,.26236582,-.80070978,,-.31243694,.70876038,.39761913,.57156044,1.0490737,-.95564163,-.50440562,-.20274778,1.0346533,-.56388396,.074838631,-.083242513,-1.5584563,-.38518521,-.40678859,.14367419,.48776066,1.0543798,-.1242217,-.51960212,.4821777,-.031731453,1.6585705,.18533055,-1.5024657,.051192526,.023358287,.19884804,-.13634613,-.11170599,.058549669,-.02182145,1.7094584,.40714198,-1.2645532,.4224323,-.41284889,-1.5363697,-.36473873,-.34375364,-.081847668,-.023770005,1.7501354,.27677396,-.96705633,.10964041,.34655362,.17485778,.20523626,-.2593199,.11329298,-.049760655,.28720731,-.18488291,-.20380701,.032861244,.0085230935,-1.5419207,.11619461,-.057422474,-.015444176,-.0024858364,1.7995267,.31515342,-.97986037,-.13129638,-.18929377,-1.5566212,-.34773457,-.97629881,.12647215,-.015024055,1.463945,.29451463,-.73615676,.098883718,-.18507463,-1.1598698,-.3443456,-1.4712182,-.20924135,-.026543139,1.7282857,.4184615,-1.1819373,.10964041,.34655362,.17485778,.20523626,-.2593199,.059276324,-.076290943,-1.328084,-.14409557,-1.1750469,-.11275873,-.20936702,-1.5583938,-.34773046,-.96364808,-.12564749,-.19541769,-1.5565472,-.34773326,-.96453601,.0024858364,.015444081,-1.7995267,-.31515342,-.97986037,1.2020798,.44319075,.84485537,.0369272095770825,-.67883295,-.051833682,-.42383814,-1.0281783,-.32160571,-.91295063,-.12385219,-.088967375,-.25500977,-.14309606,-.19109708
1011011,.10706932,.079999998,-.29790896,-2.6175961,.7153669,.71710676,-.70561403,-.78388321,1.3531537,-1.3445719,.60938603,-.49931589,1.180379,.4576762,,.74166465,1.0390092,.84851205,.72437024,1.1876034,-1.8976792,-.025853226,-.023662236,1.2171671,-.14506772,.074582875,-.083039001,-1.3561819,-.45179898,-.17903499,.15908743,.79837626,1.1010382,-.2674816,-.18827514,.36844268,-.0097477762,1.3570433,.027546987,-.86750126,.05136722,-.090221867,.21798255,-.26470631,-.26979682,.043898452,.028279155,1.3876318,.46331811,-.55105984,.084647067,-.39630103,-1.3627967,-.47384608,-.16451944,.10777114,-.0015300154,1.3859371,.13039003,-.66490179,.069545887,-.034911122,.33246899,.38555619,-.18562259,.11416818,-.049760655,.24768363,-.34443954,-.20380701,.044612255,-.018475702,-.90889162,.32922146,.015991651,.047949985,.021943253,1.3831193,.16681248,-.58292878,-.058060054,-.167064,-1.3227906,-.47311395,-.35237712,.10223887,-.036506381,1.209718,.44188583,-.26603237,.10043716,-.1788142,-1.0730067,-.42775425,-1.20551,.34784526,.18040018,1.4551319,.42598867,-.65309137,.069545887,-.034911122,.33246899,.38555619,-.18562259,.05894364,-.077094734,-1.2295091,-.0096818544,-.83387226,-.047112368,-.18231934,-1.3225315,-.47311312,-.38285047,-.054777823,-.17231198,-1.3227035,-.47311369,-.37688532,-.021943253,-.047950082,-1.3831193,-.16681248,-.58292878,1.1006269,.038515195,.72262043,-.2861675882146434,-.96354181,-.051833682,-2.0204895,-1.0113946,-.35622069,-1.5578876,-.054568566,-.015849434,.45306343,.31072527,.11881638
1021001,.07202287,.03164557,-1.4171346,-1.3772913,-1.4038732,-.061373278,.067672729,-.16649228,.026210785,-.023094086,-.12199987,.83435607,1.2061341,1.9071468,,1.8483437,.93127322,.82261348,.56405228,-.73690945,-1.1916715,1.6185651,.89780527,-.30019087,-1.2387016,-6.5911932,7.1915779,-2.1998143,-.17675844,.10900636,.15600479,.9634586,1.9564352,24.040541,.25349429,-.93268538,.037808754,1.8648788,24.111696,-1.2783605,.05130171,.35685286,.53370124,22.582617,-.20580769,.023351016,.49588493,2.1257341,-2.873214,-1.3689668,-1.5342094,1.2997739,-2.0954363,8.7691126,-.23719077,-.089633957,.0748595,1.9034821,21.329428,-.96705633,-.053324319,.52420318,1.0679864,-21.471563,.21234331,.098414466,-.049760655,.16864099,22.429676,-.10755478,-.065353863,.6274882,-.654136,-24.180264,.77766454,-.0213206,.11423098,1.8780941,19.845303,-.78139442,-.58850032,-.14761275,-2.2101481,11.358815,-.73963886,.067235216,.025311638,2.1282153,-16.629692,-.39766717,.09194243,-.17392364,-1.3145576,9.4505434,-1.5859044,-.27854407,.27794033,2.0724595,3.8358934,-1.0706013,-.053324319,.52420318,1.0679864,-21.471563,.21234331,-13.375841,13.842661,-1.57073,-22.881044,-.029674798,-.51716506,-.16359374,-2.2140114,11.358657,-.73403049,-.56706429,-.15209429,-2.2101107,11.358765,-.74163401,-.11423098,.021320505,-1.8780941,-19.845303,-.78139442,-1.1136389,.83947438,-.84185022,12.2646683851235,1.6626976,-.051833682,1.3105628,.16041028,25.459629,.73303348,-.18221064,.053105913,-.32058251,-.13436255,5.1050091
1021002,.051476378,.12709832,-1.5396919,-1.3291001,-.77753556,.59809709,-.59113699,-.54879946,.95637846,-.95019943,.4298982,1.3456811,1.2769192,2.3721235,,2.238236,1.2236156,1.1196642,.78547078,-.87810934,-1.3279117,1.8664685,1.1040363,-.13775107,-1.3008257,-1.6253408,1.2606149,-2.4563575,-1.6362058,-.29961044,-.34646571,.88960588,3.2317553,8.4067907,1.4683599,.027237853,.035116866,1.4046528,4.7795086,-.94220287,.046672344,.46095291,1.4425887,9.9521723,1.1210259,.030497964,.15909745,2.0557716,-.82831186,-.62066889,-4.6912909,4.3176966,-2.3396494,1.290301,.4474839,-.11482484,.078727335,1.2805114,2.7741454,1.2235633,-.12057959,.55312294,3.0249879,-3.6034763,1.3178041,-.75403643,-.049760655,.16864099,6.328979,-.10755478,-.083923362,.45596051,1.6849848,-3.1955464,.97037691,-.028087391,.11965968,1.1867008,1.8177016,.97171944,-.51631021,-.15872772,-2.6118574,1.6995872,-.45994973,.11704806,.022081779,2.7514811,-3.2470326,.053652141,.089818746,-.17711146,-1.3827789,2.1170664,-1.4541857,-.36383963,.25553247,1.6627288,-.7580514,1.1282843,-.12057959,.55312294,3.0249879,-3.6034763,1.3178041,.054381095,.046377026,-1.4797378,-6.2409024,-1.1506773,-.45399594,-.17607747,-2.6137784,1.6996806,-.46389216,-.49821943,-.16364723,-2.6118422,1.6996171,-.45794046,-.11965968,.028087294,-1.1867008,-1.8177016,.97171944,-1.1159983,.98493379,-1.2502806,.9903073540996268,.86131936,-.051833682,.93002987,-.59859973,3.3364432,.60338968,-.17908694,.10360526,-.19199926,.12163235,11.195803
1021003,.053013019,.03773585,-1.1946247,-1.3187624,-1.178701,.13567817,-.13752466,-.64450818,.55361938,-.54975832,-.27544928,.66581607,1.2312584,2.2458541,,2.1205339,1.1703738,.94274217,.66754204,-.67687136,-1.3259755,1.6443987,.67595917,.23804,-1.3553206,.074359097,-.081236452,-1.810066,-.15017609,-.3331036,.13750894,-.40281555,1.2565649,.76442504,-.077832714,.41393676,-.0039153672,1.8331391,1.1850359,-1.8386234,.051236201,-.10775303,.26581869,.66685158,-.24909446,.042111721,.076292254,1.9018546,.15067722,-1.5429897,.34756079,.29802656,-1.7826011,.15152575,-.28020698,.13525213,.0023378162,1.8938979,1.1686345,-1.5713651,.00099725777,.20057794,.33246899,-.81185341,.020730056,.10891696,-.049760655,.24768363,.7538445,-.20380701,.012841026,.041845039,-1.4878818,-1.0708598,.26376483,.061661642,.021943253,1.9330913,1.200386,-1.5421798,-.23068854,-.12260411,-1.7784606,.30859578,-.67509508,.10897033,.0018012634,1.6935693,-.51925749,-.36005729,.097015664,-.16574283,-1.2157954,.1213982,-1.5518392,.33984873,.12767577,2.0615332,.61108887,-1.7107832,.00099725777,.20057794,.33246899,-.81185341,.020730056,.04977103,-.064501956,-1.3963282,-.96879774,-1.2481557,-.20070006,-.13446537,-1.7782656,.30858201,-.68000269,-.22182775,-.12610023,-1.7783989,.30859134,-.68084246,-.021943253,-.061661739,-1.9330913,-1.200386,-1.5421798,-1.101842,-.31953874,-.38205108,.6941612678811171,.97368681,-.051833682,.37908643,-.15473415,.65802044,.14881589,-.16589254,.34386396,-.25684285,.028478986,.73220176
1021004,.043896709,.010512483,-1.353472,-1.5474367,-1.153808,.54075015,-.53483874,-.66363633,1.1045713,-1.098668,.66924918,1.2637087,1.2174276,2.5193615,,2.3978999,.86736262,.97293389,.6588707,-.92679423,-1.5815398,2.0881791,.83609957,-.0052503385,-1.2423074,.07800357,-.059198856,-1.7409967,-.3054066,-.091952741,.18374856,.30747315,1.3343282,.18413749,.7320776,.27745482,-.0030180858,1.72205,.49384677,-.79279941,.051541913,-.050650965,.32003298,.15358482,-.15122873,.050152034,.091600783,1.8178999,.31067672,-.79469174,-.00090361474,-.30793551,-1.6958147,-.18669793,-.25576594,.0092976075,.0071725915,1.778888,.53879178,-.62713242,.030744793,.23500614,.4506768,-.11829919,.72822493,.10804176,-.049760655,.24768363,.12788185,-.15568089,.010519855,-.025200315,-1.2794452,-.25257728,1.0621446,.017143276,.016514577,1.8073834,.56842536,-.51677364,-.018303201,-.22819608,-1.736491,-.13302231,.013370189,.11704806,-.0055598146,1.6361632,.023878261,.22289698,.10134169,-.19419003,-1.1856512,-.183213,-1.3077054,.25455317,.14612931,1.9085672,.45499903,-.62525755,.030744793,.23500614,.4506768,-.11829919,.72822493,.05072156,-.02725948,-1.3963282,-.42738286,-.73639381,-.011811962,-.25305983,-1.7342913,-.13303739,-.031670671,-.016305732,-.2358529,-1.7364269,-.13302717,-.032400351,-.016514577,-.017143372,-1.8073834,-.56842536,-.51677364,-1.1112795,-.69624132,-1.0667418,-.2063343737248808,.17669402,-.051833682,.92485249,.42007157,.33599511,.50984919,-.15330298,.1204669,.66918075,.38614333,5.8245525
